Modelo,N,QWK,d=0 (%),d=1 (%),d=2 (%),d=3 (%),d=4 (%),Distancia ≤1 (%),Distancia ≤2 (%),% errores adyacentes (entre incorrectas),Error absoluto medio
Random Forest,744,0.6823373975281928,68.68279569892472,13.172043010752688,11.827956989247312,4.166666666666666,2.1505376344086025,81.85483870967742,93.68279569892472,42.06008583690987,0.5793010752688172
XGBoost,744,0.7027128118279011,68.01075268817203,15.725806451612904,10.618279569892474,3.494623655913978,2.1505376344086025,83.73655913978494,94.35483870967742,49.159663865546214,0.5604838709677419
EfficientNet-B0,744,0.7856530760070225,54.97311827956989,34.40860215053764,8.198924731182796,1.6129032258064515,0.8064516129032258,89.38172043010752,97.58064516129032,76.4179104477612,0.5887096774193549
InceptionV3,744,0.8020600846525073,55.77956989247311,36.02150537634409,6.317204301075269,1.2096774193548387,0.6720430107526881,91.8010752688172,98.11827956989248,81.45896656534954,0.5497311827956989
