Modelo,N,d=0 (%),d=1 (%),d=2 (%),d=3 (%),d=4 (%),Error <=1 (%),Error absoluto medio
Random Forest,744,68.68279569892472,13.172043010752688,11.827956989247312,4.166666666666666,2.1505376344086025,81.85483870967742,0.5793010752688172
XGBoost,744,68.01075268817203,15.725806451612904,10.618279569892474,3.494623655913978,2.1505376344086025,83.73655913978494,0.5604838709677419
ResNet34,744,57.25806451612904,34.543010752688176,6.586021505376344,0.9408602150537635,0.6720430107526881,91.8010752688172,0.532258064516129
InceptionV3,744,55.77956989247311,36.02150537634409,6.317204301075269,1.2096774193548387,0.6720430107526881,91.8010752688172,0.5497311827956989
