Modelo,N,Accuracy (IC 95%),Precisión macro (IC 95%),Recall macro (IC 95%),F1 macro (IC 95%),AUC-ROC macro (IC 95%),QWK (IC 95%)
LinearSVC,744,0.293 (0.261–0.325),0.288 (0.255–0.323),0.293 (0.262–0.324),0.283 (0.251–0.315),0.580 (0.563–0.598),0.208 (0.136–0.275)
Regresión Logística,744,0.297 (0.263–0.331),0.292 (0.259–0.326),0.297 (0.265–0.329),0.291 (0.258–0.323),0.620 (0.596–0.644),0.230 (0.157–0.301)
Random Forest,744,0.687 (0.655–0.719),0.681 (0.648–0.714),0.687 (0.656–0.718),0.680 (0.648–0.711),0.891 (0.874–0.907),0.682 (0.629–0.731)
XGBoost,744,0.680 (0.647–0.714),0.674 (0.640–0.708),0.680 (0.650–0.711),0.672 (0.638–0.704),0.891 (0.873–0.907),0.703 (0.650–0.750)
MobileNetV3,744,0.579 (0.544–0.614),0.581 (0.545–0.616),0.579 (0.547–0.610),0.565 (0.532–0.598),0.868 (0.852–0.881),0.798 (0.762–0.829)
EfficientNet-B0,744,0.550 (0.511–0.585),0.546 (0.509–0.583),0.549 (0.515–0.583),0.538 (0.501–0.572),0.839 (0.823–0.854),0.786 (0.748–0.818)
ResNet34,744,0.573 (0.538–0.608),0.584 (0.549–0.619),0.572 (0.538–0.605),0.569 (0.533–0.601),0.862 (0.847–0.876),0.800 (0.765–0.831)
InceptionV3,744,0.558 (0.523–0.591),0.556 (0.520–0.592),0.558 (0.524–0.591),0.552 (0.516–0.585),0.855 (0.839–0.870),0.802 (0.768–0.833)
