,precision,recall,f1-score,support
0,0.6785714285714286,0.7037037037037037,0.6909090909090909,54.0
1,0.5,0.25,0.3333333333333333,8.0
2,0.4868421052631579,0.6851851851851852,0.5692307692307692,54.0
3,0.4666666666666667,0.23333333333333334,0.3111111111111111,30.0
4,0.26666666666666666,0.2,0.22857142857142856,20.0
accuracy,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5301204819277109
macro avg,0.4797493734335839,0.4144444444444445,0.4266311466311466,166.0
weighted avg,0.5196726756650663,0.5301204819277109,0.5097528977047049,166.0
