,precision,recall,f1-score,support
0,0.6507936507936508,0.7592592592592593,0.7008547008547008,54.0
1,0.5,0.25,0.3333333333333333,8.0
2,0.5217391304347826,0.6666666666666666,0.5853658536585366,54.0
3,0.4117647058823529,0.23333333333333334,0.2978723404255319,30.0
4,0.3076923076923077,0.2,0.24242424242424243,20.0
accuracy,0.5421686746987951,0.5421686746987951,0.5421686746987951,0.5421686746987951
macro avg,0.4783979589606188,0.4218518518518519,0.431970094139269,166.0
weighted avg,0.5170093826304347,0.5421686746987951,0.5175134438050137,166.0
