,precision,recall,f1-score,support
0,0.9245283018867925,0.9074074074074074,0.9158878504672897,216.0
1,0.41818181818181815,0.5111111111111111,0.46,45.0
2,0.5734265734265734,0.6776859504132231,0.6212121212121212,121.0
3,0.4444444444444444,0.34782608695652173,0.3902439024390244,23.0
4,0.6666666666666666,0.22857142857142856,0.3404255319148936,35.0
accuracy,0.7204545454545455,0.7204545454545455,0.7204545454545455,0.7204545454545455
macro avg,0.605449560921259,0.5345203968919383,0.5455538812066658,440.0
weighted avg,0.7305828771952272,0.7204545454545455,0.7149748766834547,440.0
