,precision,recall,f1-score,support
0,0.9354838709677419,0.9398148148148148,0.9376443418013857,216.0
1,0.45161290322580644,0.3111111111111111,0.3684210526315789,45.0
2,0.5647058823529412,0.7933884297520661,0.6597938144329897,121.0
3,0.5,0.2608695652173913,0.34285714285714286,23.0
4,0.7,0.2,0.3111111111111111,35.0
accuracy,0.740909090909091,0.740909090909091,0.740909090909091,0.740909090909091
macro avg,0.6303605313092978,0.5010367841790766,0.5239654925668417,440.0
weighted avg,0.7425375194065895,0.740909090909091,0.7220904089057166,440.0
