,precision,recall,f1-score,support
0,0.5789473684210527,0.8148148148148148,0.676923076923077,27.0
1,0.0,0.0,0.0,4.0
2,0.5217391304347826,0.4444444444444444,0.48,27.0
3,0.2857142857142857,0.26666666666666666,0.27586206896551724,15.0
4,0.25,0.2,0.2222222222222222,10.0
accuracy,0.4819277108433735,0.4819277108433735,0.4819277108433735,0.4819277108433735
macro avg,0.3272801569140242,0.34518518518518515,0.33100147362216326,83.0
weighted avg,0.4398102380099016,0.4819277108433735,0.4529768232967236,83.0
