,precision,recall,f1-score,support
0,0.5526315789473685,0.7777777777777778,0.6461538461538462,27.0
1,0.0,0.0,0.0,4.0
2,0.4444444444444444,0.5925925925925926,0.5079365079365079,27.0
3,0.2222222222222222,0.13333333333333333,0.16666666666666666,15.0
4,0.0,0.0,0.0,10.0
accuracy,0.46987951807228917,0.46987951807228917,0.46987951807228917,0.46987951807228917
macro avg,0.24385964912280703,0.3007407407407407,0.26415140415140415,83.0
weighted avg,0.36451067427605155,0.46987951807228917,0.4055474645836092,83.0
