,precision,recall,f1-score,support
0,0.6176470588235294,0.7777777777777778,0.6885245901639344,27.0
1,0.0,0.0,0.0,4.0
2,0.3793103448275862,0.4074074074074074,0.39285714285714285,27.0
3,0.21428571428571427,0.2,0.20689655172413793,15.0
4,0.16666666666666666,0.1,0.125,10.0
accuracy,0.43373493975903615,0.43373493975903615,0.43373493975903615,0.43373493975903615
macro avg,0.2755819569206993,0.29703703703703704,0.28265565694904304,83.0
weighted avg,0.38311809975340366,0.43373493975903615,0.4042259646678452,83.0
