,precision,recall,f1-score,support
0,0.8045347928068803,0.265754132231405,0.3995340710541642,3872.0
1,0.08341232227488152,0.24043715846994534,0.12385643912737508,366.0
2,0.16927899686520376,0.13602015113350127,0.15083798882681565,794.0
3,0.03432282003710575,0.2824427480916031,0.06120760959470637,131.0
4,0.02789171452009844,0.32075471698113206,0.05132075471698113,106.0
accuracy,0.24596697665591194,0.24596697665591194,0.24596697665591194,0.24596697665591194
macro avg,0.22388812930083396,0.24908178138151738,0.1573513726640085,5269.0
weighted avg,0.6239415377445076,0.24596697665591194,0.3274911633759236,5269.0
