,precision,recall,f1-score,support
0,0.7507122507122507,0.9527376033057852,0.8397450489414978,3872.0
1,0.14583333333333334,0.01912568306010929,0.033816425120772944,366.0
2,0.3381818181818182,0.11712846347607053,0.17399438727782976,794.0
3,0.16,0.030534351145038167,0.05128205128205128,131.0
4,0.42857142857142855,0.02830188679245283,0.05309734513274336,106.0
accuracy,0.7204403112545075,0.7204403112545075,0.7204403112545075,0.7204403112545075
macro avg,0.36465976615976614,0.22956559755589123,0.23038705155097908,5269.0
weighted avg,0.6253630233104517,0.7204403112545075,0.6480105241784587,5269.0
