,precision,recall,f1-score,support
0,0.28921568627450983,0.295,0.29207920792079206,200.0
1,0.24878048780487805,0.255,0.2518518518518518,200.0
2,0.24774774774774774,0.275,0.26066350710900477,200.0
3,0.29605263157894735,0.2571428571428571,0.27522935779816515,175.0
4,0.30597014925373134,0.2887323943661972,0.2971014492753623,142.0
accuracy,0.2737186477644493,0.2737186477644493,0.2737186477644493,0.2737186477644493
macro avg,0.2775533405319629,0.2741750503018109,0.27538507479103524,917.0
weighted avg,0.2752516424054229,0.2737186477644493,0.2740157653087351,917.0
