,precision,recall,f1-score,support
0,0.3014354066985646,0.42,0.35097493036211697,150.0
1,0.30327868852459017,0.24666666666666667,0.27205882352941174,150.0
2,0.3425925925925926,0.24666666666666667,0.2868217054263566,150.0
3,0.28187919463087246,0.28,0.2809364548494983,150.0
4,0.3888888888888889,0.42,0.40384615384615385,150.0
accuracy,0.32266666666666666,0.32266666666666666,0.32266666666666666,0.32266666666666666
macro avg,0.32361495426710174,0.32266666666666666,0.31892761360270755,750.0
weighted avg,0.3236149542671018,0.32266666666666666,0.3189276136027075,750.0
