,precision,recall,f1-score,support
0,0.3165829145728643,0.4228187919463087,0.3620689655172414,149.0
1,0.3176470588235294,0.18243243243243243,0.2317596566523605,148.0
2,0.205607476635514,0.1476510067114094,0.171875,149.0
3,0.2947976878612717,0.3422818791946309,0.3167701863354037,149.0
4,0.3055555555555556,0.3691275167785235,0.3343465045592705,149.0
accuracy,0.29301075268817206,0.29301075268817206,0.29301075268817206,0.29301075268817206
macro avg,0.288038138689747,0.292862325412661,0.28336406261285524,744.0
weighted avg,0.2879983417540833,0.29301075268817206,0.2834334233735548,744.0
