,precision,recall,f1-score,support
0,0.26262626262626265,0.3466666666666667,0.2988505747126437,150.0
1,0.16666666666666666,0.1,0.125,150.0
2,0.18,0.12,0.144,150.0
3,0.20218579234972678,0.24666666666666667,0.2222222222222222,150.0
4,0.24581005586592178,0.29333333333333333,0.2674772036474164,150.0
accuracy,0.22133333333333333,0.22133333333333333,0.22133333333333333,0.22133333333333333
macro avg,0.21145775550171556,0.22133333333333333,0.21151000011645643,750.0
weighted avg,0.2114577555017156,0.22133333333333333,0.21151000011645646,750.0
