Model,Accuracy,QWK,F1-Macro,F1-Micro,IoU-Macro,AUC-Macro,AUC-Micro,Train-Time (s)
RandomForest,0.32266666666666666,0.29062980030721963,0.31892761360270755,0.32266666666666666,0.19082832670690078,0.6572844444444444,0.6592622222222222,0.4810214042663574
LogisticRegression,0.22133333333333333,0.1615361170374886,0.21151000011645643,0.22133333333333333,0.11986290283023496,0.532468888888889,0.5344951111111111,2.2197930812835693
LinearSVC,0.228,0.1309808612440191,0.21460103242926065,0.228,0.12201836228750433,0.5174999999999998,0.5175,4.781931638717651
XGBoost,0.3373333333333333,0.3279924599434496,0.3348052286658128,0.3373333333333333,0.2024367309804967,0.6632666666666667,0.6646853333333334,3.406486988067627
