,precision,recall,f1-score,support
0,0.7742350218565184,0.5833010461061604,0.6653408463153243,5162.0
1,0.07529162248144221,0.14519427402862986,0.09916201117318436,489.0
2,0.18433451118963487,0.29584120982986767,0.22714078374455732,1058.0
3,0.05536332179930796,0.09142857142857143,0.06896551724137931,175.0
4,0.10628019323671498,0.15492957746478872,0.12607449856733524,142.0
accuracy,0.4886137204668375,0.4886137204668375,0.4886137204668375,0.4886137204668375
macro avg,0.23910093411272365,0.2541389357716036,0.2373367314083561,7026.0
weighted avg,0.6053551192442214,0.4886137204668375,0.5341967215569222,7026.0
