,precision,recall,f1-score,support
0,0.7356847065543338,0.9980627663696242,0.8470201397451705,5162.0
1,0.3333333333333333,0.002044989775051125,0.0040650406504065045,489.0
2,0.375,0.005671077504725898,0.0111731843575419,1058.0
3,0.5,0.011428571428571429,0.0223463687150838,175.0
4,0.0,0.0,0.0,142.0
accuracy,0.7345573583831483,0.7345573583831483,0.7345573583831483,0.7345573583831483
macro avg,0.38880360797753344,0.20344148101559453,0.17692094669364053,7026.0
weighted avg,0.6326294413938901,0.7345573583831483,0.6248274423310616,7026.0
