,precision,recall,f1-score,support
0,0.8422939068100358,0.818815331010453,0.8303886925795053,287.0
1,0.3391304347826087,0.65,0.44571428571428573,60.0
2,0.8222222222222222,0.22981366459627328,0.3592233009708738,161.0
3,0.12612612612612611,0.45161290322580644,0.19718309859154928,31.0
4,0.3055555555555556,0.23404255319148937,0.26506024096385544,47.0
accuracy,0.5733788395904437,0.5733788395904437,0.5733788395904437,0.5733788395904437
macro avg,0.4870656490993097,0.4768568904048044,0.419513923764014,586.0
weighted avg,0.7043258978502314,0.5733788395904437,0.5827130900189847,586.0
