,precision,recall,f1-score,support
0,0.8646864686468647,0.9128919860627178,0.888135593220339,287.0
1,0.3448275862068966,0.3333333333333333,0.3389830508474576,60.0
2,0.5663265306122449,0.6894409937888198,0.6218487394957983,161.0
3,0.23076923076923078,0.0967741935483871,0.13636363636363635,31.0
4,0.375,0.1276595744680851,0.19047619047619047,47.0
accuracy,0.6860068259385665,0.6860068259385665,0.6860068259385665,0.6860068259385665
macro avg,0.47632196324704734,0.4320200162402686,0.4351614420806843,586.0
weighted avg,0.6566759202329037,0.6860068259385665,0.6630225239651228,586.0
