,precision,recall,f1-score,support
0,0.51931330472103,0.605,0.558891454965358,400.0
1,0.5275779376498801,0.55,0.5385556915544676,400.0
2,0.5048780487804878,0.5175,0.5111111111111111,400.0
3,0.6039603960396039,0.5228571428571429,0.5604900459418071,350.0
4,0.6624472573839663,0.5547703180212014,0.6038461538461538,283.0
accuracy,0.5504637206764866,0.5504637206764866,0.5504637206764866,0.5504637206764866
macro avg,0.5636353889149937,0.5500254921756688,0.5545788914837795,1833.0
weighted avg,0.5562282754577649,0.5504637206764866,0.5512729299893446,1833.0
