,precision,recall,f1-score,support
0,0.41092636579572445,0.4325,0.42143727161997563,400.0
1,0.41534391534391535,0.3925,0.40359897172236503,400.0
2,0.4122137404580153,0.405,0.4085750315258512,400.0
3,0.4254658385093168,0.3914285714285714,0.40773809523809523,350.0
4,0.438871473354232,0.49469964664310956,0.46511627906976744,283.0
accuracy,0.4195308237861429,0.4195308237861429,0.4195308237861429,0.4195308237861429
macro avg,0.4205642666922408,0.4232256436143362,0.42129312983521083,1833.0
weighted avg,0.41926201804504665,0.4195308237861429,0.4188656575326537,1833.0
