,precision,recall,f1-score,support
0,0.4028776978417266,0.42,0.4112607099143207,400.0
1,0.39588688946015427,0.385,0.39036755386565275,400.0
2,0.4034229828850856,0.4125,0.4079110012360939,400.0
3,0.4208860759493671,0.38,0.3993993993993994,350.0
4,0.423841059602649,0.45229681978798586,0.4376068376068376,283.0
accuracy,0.40807419530823785,0.40807419530823785,0.40807419530823785,0.40807419530823785
macro avg,0.4093829411477965,0.40995936395759713,0.40930910040446083,1833.0
weighted avg,0.4081463036140834,0.40807419530823785,0.40777317558044285,1833.0
