,Pred: No RD,Pred: Leve,Pred: Moderado,Pred: Severo,Pred: PRD
Real: No RD,0.36,0.08666666666666667,0.10666666666666667,0.25333333333333335,0.19333333333333333
Real: Leve,0.30666666666666664,0.08666666666666667,0.09333333333333334,0.28,0.23333333333333334
Real: Moderado,0.24,0.11333333333333333,0.11333333333333333,0.3,0.23333333333333334
Real: Severo,0.25333333333333335,0.08666666666666667,0.08,0.2733333333333333,0.30666666666666664
Real: PRD,0.17333333333333334,0.10666666666666667,0.13333333333333333,0.28,0.30666666666666664
