,precision,recall,f1-score,support
0,0.9121951219512195,0.935,0.9234567901234568,200.0
1,0.34210526315789475,0.43333333333333335,0.38235294117647056,60.0
2,0.6184971098265896,0.6604938271604939,0.6388059701492538,162.0
3,0.2777777777777778,0.16129032258064516,0.20408163265306123,31.0
4,0.32142857142857145,0.19148936170212766,0.24,47.0
accuracy,0.668,0.668,0.668,0.668
macro avg,0.4944007688284106,0.47632136895531996,0.4777394668204485,500.0
weighted avg,0.6537602518797581,0.668,0.6574512645434071,500.0
