,precision,recall,f1-score,support
0,0.8585858585858586,0.7870370370370371,0.821256038647343,216.0
1,0.3333333333333333,0.3111111111111111,0.3218390804597701,45.0
2,0.46956521739130436,0.4462809917355372,0.4576271186440678,121.0
3,0.11764705882352941,0.17391304347826086,0.14035087719298245,23.0
4,0.19607843137254902,0.2857142857142857,0.23255813953488372,35.0
accuracy,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728
macro avg,0.3950419799013149,0.4008112938152464,0.39472625089580937,440.0
weighted avg,0.6064558277497129,0.5727272727272728,0.5877603395081988,440.0
