,precision,recall,f1-score,support
0,0.8403361344537815,0.46296296296296297,0.5970149253731343,216.0
1,0.17592592592592593,0.4222222222222222,0.24836601307189543,45.0
2,0.3875,0.256198347107438,0.30845771144278605,121.0
3,0.08955223880597014,0.2608695652173913,0.13333333333333333,23.0
4,0.13636363636363635,0.2571428571428571,0.1782178217821782,35.0
accuracy,0.375,0.375,0.375,0.375
macro avg,0.3259355871098628,0.33187919093057433,0.2930779610006654,440.0
weighted avg,0.5526118192589728,0.375,0.424453109051028,440.0
