,precision,recall,f1-score,support
0,0.9178082191780822,0.9305555555555556,0.9241379310344827,216.0
1,0.425531914893617,0.4444444444444444,0.43478260869565216,45.0
2,0.5612903225806452,0.71900826446281,0.6304347826086957,121.0
3,0.6,0.2608695652173913,0.36363636363636365,23.0
4,0.7777777777777778,0.2,0.3181818181818182,35.0
accuracy,0.7295454545454545,0.7295454545454545,0.7295454545454545,0.7295454545454545
macro avg,0.6564816468860244,0.5109755659360402,0.5342347008314026,440.0
weighted avg,0.741667869925361,0.7295454545454545,0.7158218617963745,440.0
