,precision,recall,f1-score,support
0,0.9466192170818505,0.926829268292683,0.9366197183098591,287.0
1,0.32098765432098764,0.43333333333333335,0.36879432624113473,60.0
2,0.5804597701149425,0.6273291925465838,0.6029850746268657,161.0
3,0.3125,0.16129032258064516,0.2127659574468085,31.0
4,0.5294117647058824,0.3829787234042553,0.4444444444444444,47.0
accuracy,0.7098976109215017,0.7098976109215017,0.7098976109215017,0.7098976109215017
macro avg,0.5379956812447325,0.5063521680315002,0.5131219042138225,586.0
weighted avg,0.7149536697806016,0.7098976109215017,0.7090490602629062,586.0
