,precision,recall,f1-score,support
0,0.946236559139785,0.9198606271777003,0.9328621908127208,287.0
1,0.3291139240506329,0.43333333333333335,0.37410071942446044,60.0
2,0.5662650602409639,0.5838509316770186,0.5749235474006116,161.0
3,0.25,0.12903225806451613,0.1702127659574468,31.0
4,0.43478260869565216,0.425531914893617,0.43010752688172044,47.0
accuracy,0.6962457337883959,0.6962457337883959,0.6962457337883959,0.6962457337883959
macro avg,0.5052796304254068,0.49832181302923717,0.496441350095392,586.0
weighted avg,0.700802363862879,0.6962457337883959,0.6966413525056974,586.0
