,precision,recall,f1-score,support
0,0.5918367346938775,0.8285714285714286,0.6904761904761905,70.0
1,0.1111111111111111,0.03333333333333333,0.05128205128205128,30.0
2,0.4583333333333333,0.5116279069767442,0.4835164835164835,43.0
3,0.0,0.0,0.0,11.0
4,1.0,0.3333333333333333,0.5,3.0
accuracy,0.5222929936305732,0.5222929936305732,0.5222929936305732,0.5222929936305732
macro avg,0.43225623582766437,0.3413732004429679,0.34505494505494505,157.0
weighted avg,0.4297467394601153,0.5222929936305732,0.45963696600639276,157.0
