,precision,recall,f1-score,support
0,0.5636363636363636,0.44285714285714284,0.496,70.0
1,0.2,0.26666666666666666,0.22857142857142856,30.0
2,0.43333333333333335,0.3023255813953488,0.3561643835616438,43.0
3,0.16666666666666666,0.36363636363636365,0.22857142857142856,11.0
4,0.0,0.0,0.0,3.0
accuracy,0.35668789808917195,0.35668789808917195,0.35668789808917195,0.35668789808917195
macro avg,0.27272727272727276,0.27509715091110437,0.2618614481409002,157.0
weighted avg,0.41988033198224284,0.35668789808917195,0.3783853316215239,157.0
