,precision,recall,f1-score,support
0,0.6029411764705882,0.5857142857142857,0.5942028985507246,70.0
1,0.14814814814814814,0.13333333333333333,0.14035087719298245,30.0
2,0.42857142857142855,0.3488372093023256,0.38461538461538464,43.0
3,0.2727272727272727,0.5454545454545454,0.36363636363636365,11.0
4,0.2,0.3333333333333333,0.25,3.0
accuracy,0.4267515923566879,0.4267515923566879,0.4267515923566879,0.4267515923566879
macro avg,0.3304776051834875,0.3893345414275647,0.3465611047990911,157.0
weighted avg,0.43744521163029965,0.4267515923566879,0.42734516403058426,157.0
