,precision,recall,f1-score,support
0,0.5978260869565217,0.7857142857142857,0.6790123456790124,70.0
1,0.2222222222222222,0.13333333333333333,0.16666666666666666,30.0
2,0.4772727272727273,0.4883720930232558,0.4827586206896552,43.0
3,0.3333333333333333,0.09090909090909091,0.14285714285714285,11.0
4,0.0,0.0,0.0,3.0
accuracy,0.5159235668789809,0.5159235668789809,0.5159235668789809,0.5159235668789809
macro avg,0.32613087395696094,0.2996657605959931,0.29425895517849543,157.0
weighted avg,0.46308208084724295,0.5159235668789809,0.4768211048319402,157.0
