,precision,recall,f1-score,support
0,0.919431279620853,0.97,0.9440389294403893,400.0
1,0.6568627450980392,0.5583333333333333,0.6036036036036037,120.0
2,0.6714628297362111,0.8668730650154799,0.7567567567567568,323.0
3,0.7058823529411765,0.3870967741935484,0.5,62.0
4,0.7916666666666666,0.20212765957446807,0.3220338983050847,94.0
accuracy,0.7787787787787788,0.7787787787787788,0.7787787787787788,0.7787787787787788
macro avg,0.7490611748125893,0.596886166423366,0.6252866376211669,999.0
weighted avg,0.7824423501640858,0.7787787787787788,0.7565081312129115,999.0
