,precision,recall,f1-score,support
0,0.6318181818181818,0.7393617021276596,0.6813725490196079,188.0
1,0.48,0.4444444444444444,0.46153846153846156,81.0
2,0.5794392523364486,0.543859649122807,0.5610859728506787,114.0
3,0.3333333333333333,0.17857142857142858,0.23255813953488372,28.0
4,1.0,0.25,0.4,8.0
accuracy,0.5823389021479713,0.5823389021479713,0.5823389021479713,0.5823389021479713
macro avg,0.6049181534975927,0.43124744485326794,0.46731102458872636,419.0
weighted avg,0.575301256041782,0.5823389021479713,0.570783015303713,419.0
