,precision,recall,f1-score,support
0,0.6431924882629108,0.7287234042553191,0.683291770573566,188.0
1,0.4936708860759494,0.48148148148148145,0.4875,81.0
2,0.5925925925925926,0.5614035087719298,0.5765765765765766,114.0
3,0.35294117647058826,0.21428571428571427,0.26666666666666666,28.0
4,1.0,0.25,0.4,8.0
accuracy,0.5918854415274463,0.5918854415274463,0.5918854415274463,0.5918854415274463
macro avg,0.6164794286804082,0.4471788217588889,0.48280700276336186,419.0
weighted avg,0.5879366063539645,0.5918854415274463,0.5831569194850281,419.0
