,precision,recall,f1-score,support
0,0.6111111111111112,0.8148148148148148,0.6984126984126984,27.0
1,0.0,0.0,0.0,4.0
2,0.48,0.4444444444444444,0.46153846153846156,27.0
3,0.5833333333333334,0.4666666666666667,0.5185185185185185,15.0
4,0.1111111111111111,0.1,0.10526315789473684,10.0
accuracy,0.5060240963855421,0.5060240963855421,0.5060240963855421,0.5060240963855421
macro avg,0.35711111111111116,0.36518518518518517,0.356746567272883,83.0
weighted avg,0.47374832663989297,0.5060240963855421,0.4837239840410418,83.0
