,precision,recall,f1-score,support
0,0.6060606060606061,0.7407407407407407,0.6666666666666666,27.0
1,0.0,0.0,0.0,4.0
2,0.41379310344827586,0.4444444444444444,0.42857142857142855,27.0
3,0.2727272727272727,0.2,0.23076923076923078,15.0
4,0.1111111111111111,0.1,0.10526315789473684,10.0
accuracy,0.43373493975903615,0.43373493975903615,0.43373493975903615,0.43373493975903615
macro avg,0.28073841866945315,0.29703703703703704,0.2862540967804126,83.0
weighted avg,0.3944345826356628,0.43373493975903615,0.4106698627941494,83.0
