,precision,recall,f1-score,support
0,0.5476190476190477,0.8518518518518519,0.6666666666666666,27.0
1,0.0,0.0,0.0,4.0
2,0.3333333333333333,0.37037037037037035,0.3508771929824561,27.0
3,0.5,0.2,0.2857142857142857,15.0
4,0.3333333333333333,0.1,0.15384615384615385,10.0
accuracy,0.4457831325301205,0.4457831325301205,0.4457831325301205,0.4457831325301205
macro avg,0.34285714285714286,0.30444444444444446,0.29142085984191246,83.0
weighted avg,0.417096959265634,0.4457831325301205,0.4011790365626764,83.0
